Company Name,Domain Name,SwitchPitch Link,Hubspot Link,Track,Website,Short Description,Description,Stage,Total Raised,Founded,Revenue Range,Employees,Min Employees,Max Employees,City,State/Region,Country,Continent,Categories,LinkedIn,Twitter,Facebook,Features,Clients,Investors,Last Funding Date,Highlights
Adzact,adzact.com,,https://app.hubspot.com/contacts/20173538/company/33621132338,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,
Aica,aica.tech,https://app.switchpitch.com/startups/262377,https://app.hubspot.com/contacts/20173538/company/33626698554,Artificial Intelligence,http://aica.tech,Accessible Robotics. For Everyone.,"AICA aims to make robotics accessible to all companies. Our technology leverages reinforcement learning (Artificial Intelligence), closed-loop force control, and dynamic motion, giving robots a sense of touch and the ability to learn and adapt autonomously to changes. This gives manufacturers more flexibility and autonomy, allowing them to automate complex processes in an affordable way, such as gearbox assembly, EV battery (dis)assembly, automatic screwing, deburring, or polishing. In addition, on-site production employees can now operate the robots without the need for advanced robotic expertise.",Seed,4123172,2019,$1M to $10M,11 - 50,11,50,Prilly,Vaud,Switzerland,Europe,"Artificial Intelligence, Industrial Automation, Machine Learning, Manufacturing, Robotics",https://www.linkedin.com/company/aica,,,"- Quick Implementation
- Robotic Agnosticity
- Autonomous Adaptation
- Flexible Approach
- Bottleneck Reduction
- Cost Savings",,"High-Tech Grunderfonds, InnoBooster, Innovaud, Momenta Ventures, Schaeffler Group, Spicehaus Partners, Zürcher Kantonal Bank",03/18/2025,"Quick Implementation
Robotic Agnosticity
Autonomous Adaptation
Flexible Approach
Bottleneck Reduction
Cost Savings"
Fraudio,fraudio.com,https://app.switchpitch.com/startups/333828,https://app.hubspot.com/contacts/20173538/company/33614109588,Artificial Intelligence,http://fraudio.com,"Fraudio provides payment fraud detection, merchant risk monitoring, and money laundering detection services.","Fraudio assists businesses of all sizes in the payments ecosystem in combating payment fraud and financial crime. It is built on secure, scalable, and future-proof technology, and it takes pride in being the quickest and easiest to integrate with, delivering value from day one.

The company was established in 2019, is headquartered in Amsterdam, Netherlands and has an R&D office in Lisbon, Portugal.",Seed,7444569,2019,$1M to $10M,11 - 50,11,50,Amsterdam,Noord-Holland,The Netherlands,Europe,"Financial Services, Fraud Detection, Payments",https://www.linkedin.com/company/fraudio/,,,"- Payment fraud detection
- Anti-money laundering solutions
- Card payment fraud detection
- Merchant-initiated fraud detection
- Real-time fraud detection using artificial intelligence
- Continuous monitoring of risk indicators
- Analysis of payment transaction, merchant data, and geographical benchmarks
- Reduction of merchant onboarding costs
- Sales to merchants, payment service providers or acquirers, and issuers or banks
- Use of machine learning and AI for transaction assessment
- Instant access to supervised and unsupervised machine learning models
- Scoring and classification of transactions as Red, Orange, or Green
- Customizable risk appetite settings
- Network effect AI for fraud detection
- Daily reports with ongoing alerts and actionable data
- Empowerment of clients to grow transactions, increase risk team efficiency, and generate high ROI
- Low latency technology for near real-time fraud prevention
- Domain-specific machine-learned features with user control","Fazz Financial, SaltPay, Viva Wallet","Hackquarters, Portugal Ventures, Big Start Ventures, Bynd Venture Capital, Iberis Capital, Shilling, the Fintech Fund",03/02/2023,"Payment fraud detection
Anti-money laundering solutions
Card payment fraud detection
Merchant-initiated fraud detection
Real-time fraud detection using artificial intelligence
Continuous monitoring of risk indicators
Analysis of payment transaction, merchant data, and geographical benchmarks
Reduction of merchant onboarding costs
Sales to merchants, payment service providers or acquirers, and issuers or banks
Use of machine learning and AI for transaction assessment
Instant access to supervised and unsupervised machine learning models
Scoring and classification of transactions as Red, Orange, or Green
Customizable risk appetite settings
Network effect AI for fraud detection
Daily reports with ongoing alerts and actionable data
Empowerment of clients to grow transactions, increase risk team efficiency, and generate high ROI
Low latency technology for near real-time fraud prevention
Domain-specific machine-learned features with user control"
Gallatin,gallatin.ai,https://app.switchpitch.com/startups/651966,https://app.hubspot.com/contacts/20173538/company/33610704024,Artificial Intelligence,https://www.gallatin.ai,Gallatin is a logistics platform that offers AI-powered decision support for the defense industry.,"Gallatin is building a logistics platform based on the needs and constraints of today's defense industry. Gallatin's platform creates actionable insights across the tactical, operational, and strategic levels providing integrated capabilities for first, middle, and last mile solutions where they're needed most.",Seed,15000000,2024,,11 - 50,11,50,El Segundo,California,United States,North America,"Logistics, Military, National Security, Predictive Analytics, Software, Supply Chain Management",https://www.linkedin.com/company/gallatinai,https://x.com/GallatinAI,,not available,"8VC, EMC, GLC, Palantir, TeamViewer, Tradewinds, Upskill, Vay, Virtustream","8VC, Banter Capital, Moonshots Capital, Silent Ventures, Timeless Partners",04/08/2025,not available
Gradial,gradial.ai,,https://app.hubspot.com/contacts/20173538/company/33606693019,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,
Harmonix,harmonix.ai,https://app.switchpitch.com/startups/684300,https://app.hubspot.com/contacts/20173538/company/33616115775,Artificial Intelligence,https://www.harmonix.ai/,"Harmonix is a software development company that uses AI for CRM to communicate with customers to send email, calls, and SMS.","Harmonix is a software development company that uses AI for CRM to communicate with customers to send email, calls, and SMS.",Seed,3535185,2019,,11 - 50,11,50,Barcelona,Catalonia,Spain,Europe,"Artificial Intelligence, CRM, Software",https://www.linkedin.com/company/harmonix-official/,https://x.com/harmonixai_,,"The company ""Harmonix"" does not operate under the domain 'harmonix.ai', but rather under 'harmonixmusic.com'. Here are some key features and facts about Harmonix:

## Founding and Headquarters
- Harmonix was founded in May 1995 by Alex Rigopulos and Eran Egozy and is based in Boston, Massachusetts[2][4].

## Mission and Goals
- The company aims to be the world's leading developer of world-class music experiences, using technology to change how people interact with music. They focus on creating fun, inspiring, and inclusive experiences for everyone[1].

## Notable Products
- Harmonix is best known for developing music video game series such as *Rock Band*, *Dance Central*, and the original *Guitar Hero* series before its development was transferred to other companies[2][3].

## Employee Base
- The company has a diverse studio with over 100 employees working on new music gaming and interactive entertainment experiences[1][2].

## Innovation and Development
- Harmonix has a history of innovation, starting with several initial games that were not huge hits but led to improvements in design and gameplay. This iterative process culminated in successful titles like *Guitar Hero*, which was developed on a relatively low budget and completed in about nine months[5].

## Management
- The company is led by a highly experienced senior management team, with Alex Rigopulos and Eran Egozy as its co-founders[1][4].

For more information, you can visit their official website at [harmonixmusic.com][3].","Gamelearn, Innovaci","K Fund, 4Founders Capital, ICF Capital",04/03/2025,"The company &quot;Harmonix&quot; does not operate under the domain 'harmonix.ai', but rather under 'harmonixmusic.com'. Here are some key features and facts about Harmonix:
Founding and Headquarters

Harmonix was founded in May 1995 by Alex Rigopulos and Eran Egozy and is based in Boston, Massachusetts[2][4].

Mission and Goals

The company aims to be the world's leading developer of world-class music experiences, using technology to change how people interact with music. They focus on creating fun, inspiring, and inclusive experiences for everyone[1].

Notable Products

Harmonix is best known for developing music video game series such as Rock Band, Dance Central, and the original Guitar Hero series before its development was transferred to other companies[2][3].

Employee Base

The company has a diverse studio with over 100 employees working on new music gaming and interactive entertainment experiences[1][2].

Innovation and Development

Harmonix has a history of innovation, starting with several initial games that were not huge hits but led to improvements in design and gameplay. This iterative process culminated in successful titles like Guitar Hero, which was developed on a relatively low budget and completed in about nine months[5].

Management

The company is led by a highly experienced senior management team, with Alex Rigopulos and Eran Egozy as its co-founders[1][4].

For more information, you can visit their official website at [harmonixmusic.com][3]."
Jump,jumpapp.com,https://app.switchpitch.com/startups/637501,https://app.hubspot.com/contacts/20173538/company/33608551293,Artificial Intelligence,http://jumpapp.com,"Jump is an AI assistant for financial advisors that automatically creates notes, manages tasks, and streamlines compliance.","Jump is an AI-powered assistant that redefines how wealth advisors manage their client interactions and compliance tasks. Created to turn conversations into actionable tasks, comprehensive notes, and compliance records, Jump offers a complete solution for advisors seeking efficiency and accuracy in their daily operations.",Series A,29174985,2023,$10M to $50M,11 - 50,11,50,Salt Lake City,Utah,United States,North America,"Artificial Intelligence, Financial Services, FinTech, Generative AI, SaaS, Wealth Management",https://www.linkedin.com/company/jump-app-ai/,https://twitter.com/JumpAdvisorAI,,"- **AI Meeting Assistant**: A tool that records client conversations and produces task lists, notes, and compliance records. It aims to cut meeting-related admin time by 90% for financial advisors, allowing them to serve more clients or go home earlier.
- **Advisor Friendly AI**: The AI assistant generates meeting notes, smart task lists, financial planning and compliance data, and client recap emails tailored to financial advisors.
- **Customizable to Match Advisor's Style**: Jump's AI assistant is designed to match the advisor's style, making it easier to adapt to the user's preferences.
- **CRM Integrations**: Jump integrates with popular CRMs like Redtail, Wealthbox, and Salesforce, allowing advisors to push notes and tasks to their CRM with one click.
- **Meeting Integrations**: The tool integrates with video conferencing platforms like Zoom, Google Meet, and Teams, making it easier to use during various meetings.
- **Calendar Integrations**: Jump connects with Outlook and Google calendars, ensuring seamless scheduling and meeting management.
- **Automated Data Entry**: Jump's AI assistant can pull data points from calls, such as net worth, and automatically save them into the CRM, making data entry easier and more efficient.
- **Automated Task Creation**: The AI assistant creates smart tasks with titles, descriptions, assignees, and due dates, ready for sync into the CRM.
- **Automated Compliance Records**: Jump helps maintain compliance records by flagging required disclosures, advisor or client statements, and adding custom language to notes.
- **Mobile App**: Jump offers a mobile app for recording in-person or on-the-go meetings, making it easier to use the tool in various settings.","Poolside, Redtail, Veraset, Wealthbox, ZipBooks","Battery Ventures, Pelion Venture Partners, Citi Ventures, Element Ventures, Sorenson Capital",02/03/2025,"AI Meeting Assistant: A tool that records client conversations and produces task lists, notes, and compliance records. It aims to cut meeting-related admin time by 90% for financial advisors, allowing them to serve more clients or go home earlier.
Advisor Friendly AI: The AI assistant generates meeting notes, smart task lists, financial planning and compliance data, and client recap emails tailored to financial advisors.
Customizable to Match Advisor's Style: Jump's AI assistant is designed to match the advisor's style, making it easier to adapt to the user's preferences.
CRM Integrations: Jump integrates with popular CRMs like Redtail, Wealthbox, and Salesforce, allowing advisors to push notes and tasks to their CRM with one click.
Meeting Integrations: The tool integrates with video conferencing platforms like Zoom, Google Meet, and Teams, making it easier to use during various meetings.
Calendar Integrations: Jump connects with Outlook and Google calendars, ensuring seamless scheduling and meeting management.
Automated Data Entry: Jump's AI assistant can pull data points from calls, such as net worth, and automatically save them into the CRM, making data entry easier and more efficient.
Automated Task Creation: The AI assistant creates smart tasks with titles, descriptions, assignees, and due dates, ready for sync into the CRM.
Automated Compliance Records: Jump helps maintain compliance records by flagging required disclosures, advisor or client statements, and adding custom language to notes.
Mobile App: Jump offers a mobile app for recording in-person or on-the-go meetings, making it easier to use the tool in various settings."
Metric,metric.tech,https://app.switchpitch.com/startups/587971,https://app.hubspot.com/contacts/20173538/company/33605608971,Artificial Intelligence,http://metric.tech,"Metric is a revolution! Unlock the power of AI marketing with Metric - the worlds first marketing solution that provides personalized and live recommendations on what to market, when, and...","Metric is a revolution! Unlock the power of AI marketing with Metric - the worlds first marketing solution that provides personalized and live recommendations on what to market, when, and in which channels. An app that allows you to effortlessly create targeted, customized and intelligent campaigns with just one click.",,,,,,,,,,,,,,,,"- Platform for creating and managing scorecards
- Metrics can be assigned weights to reflect importance
- Metrics can be used with other discovery tools
- Defined metric types include KPI, KQI, SLO, Informational, Consumption, Interim, Price Item, and Incentive
- IT metrics track technology and business performance
- Operational KPIs focus on IT resources and functions
- Financial metrics evaluate financial performance of IT initiatives
- Digital transformation metrics benchmark progress in digital transformation efforts
- Helps align IT with desired business goals","Cloud, Data Center, infrastructure, Metric Tech Auto - Mechanic services, Metric Tech Collaboration Practice, Metric Tech IT Support",,,"Platform for creating and managing scorecards
Metrics can be assigned weights to reflect importance
Metrics can be used with other discovery tools
Defined metric types include KPI, KQI, SLO, Informational, Consumption, Interim, Price Item, and Incentive
IT metrics track technology and business performance
Operational KPIs focus on IT resources and functions
Financial metrics evaluate financial performance of IT initiatives
Digital transformation metrics benchmark progress in digital transformation efforts
Helps align IT with desired business goals"
Mitiga Solutions,mitigasolutions.com,https://app.switchpitch.com/startups/124434,https://app.hubspot.com/contacts/20173538/company/33615343186,Artificial Intelligence,http://mitigasolutions.com,"Mitiga Solutions provides climate risk intelligence that combines science, AI, and high-performance computing.","Mitiga Solutions provides climate risk intelligence that combines science, AI, and high-performance computing. We help customers analyze, report, and act on their business exposure to climate risk through﻿ our self-serve platform EarthScan™ and our risk models. 

Our mission is to make the world a more resilient place under a changing climate. Mitiga is headquartered in Barcelona, Spain, and backed by Kibo Ventures, Microsoft Climate Innovation Fund, Nationwide Ventures, CREAS Impacto, and Faber.",Series A,31330161,2018,$1M to $10M,51 - 100,51,100,Barcelona,Catalonia,Spain,Europe,"Commercial Real Estate, Energy, Environmental Consulting, Infrastructure, Insurance, InsurTech, Real Estate, Risk Management, SaaS, Sustainability",https://www.linkedin.com/company/mitigasolutions,https://twitter.com/MitigaSolutions,,"- Customized climate risk intelligence
- Practical solutions based on scientific principles
- Utilization of artificial intelligence (AI) and high-performance computing (HPC)
- Identification of risks related to extreme temperatures, precipitation, flooding, heat stress, drought, wildfires, and extreme wind
- Catering to multiple use cases and delivery formats
- EarthScan platform for self-serve analysis and reporting","AKTIO, AXA Climate, Howden Group, Indo Navigation Systems Pvt. Ltd., LIMITED, MotaEngil Engenharia e Construção Africa S.A., Origin Water Engineering Co., Schneider Electric, Sharjah Asset Management Holding Company, Willis Tower Watson","Creas, Elaia, Faber, Íope Ventures, Kibo Ventures, Microsoft Climate Innovation Fund, Nationwide Ventures, SABADELL VENTURE CAPITAL, Telefonica Innovation Ventures",04/06/2024,"Customized climate risk intelligence
Practical solutions based on scientific principles
Utilization of artificial intelligence (AI) and high-performance computing (HPC)
Identification of risks related to extreme temperatures, precipitation, flooding, heat stress, drought, wildfires, and extreme wind
Catering to multiple use cases and delivery formats
EarthScan platform for self-serve analysis and reporting"
Nodes&Links,nodeslinks.com,https://app.switchpitch.com/startups/126851,https://app.hubspot.com/contacts/20173538/company/33607621813,Artificial Intelligence,http://nodeslinks.com,Nodes & Links empowers organizations across all domains to tame project complexity.,"Nodes & Links' mission is to empower organizations across all domains to tame project complexity. Our technology lets you understand the risks that stem from complex interactions within your projects and provides you with the information you need to act. Together, we enable what was before, impossible.",Series B,24646269,2018,$10M to $50M,11 - 50,11,50,London,England,United Kingdom,Europe,"Association, Information Technology, Project Management, Software",https://www.linkedin.com/company/nodeslinks/,,,"- Single Dashboard: Nodes & Links provides a single dashboard for all analytics, offering a comprehensive view of a project's health, progress, and schedule quality.
- Bookmark Favorites: Users can bookmark favorite activities and easily track their progress and how they are trending.
- Easy Project Updates: Project updates can be shared easily with the team, ensuring everyone is on the same page.
- Schedule Health & Progress: The platform offers insights into schedule health and progress, highlighting potential delays and helping users stay on track.
- Schedule Comparison Analysis: Nodes & Links allows users to see which activities and milestones have been removed or added, and how these changes impact the critical path and other KPIs.
- Progress Tracking: Progress tracking is made easy, with options to view project s-curves, WBS/ACS KPIs, and activity-level details.
- Schedule Quality Checks: Users can start with 14 DCMA checks and leverage an additional 18 proprietary checks, with customizable thresholds for best practices.
- AI Forecasting: The platform uses AI for trend analysis, helping users spot trends and deviations from the plan quickly and avoid surprises.
- Critical Path Analysis: Users can discover critical and near-critical paths that drive the delivery of any activity, and easily export Gantt views of the data for reports.
- AI Acceleration Scenarios: Nodes & Links offers smart search capabilities to uncover activities with the largest delays, helping teams allocate resources for acceleration.
- Customizable Data Tracking: Users can switch between WBS and Activity Codes to track progress the way they want, and choose between activity count and duration-based progress measures.
- CO2 Management: The platform identifies the biggest contributor of carbon at the WBS or activity level, providing a breakdown between materials and equipment.
- Team Alignment: Nodes & Links ensures everyone is on the same page by inviting team members to the platform for free, with advanced user permissions and teams for secure access.",,"Creative Destruction Lab (CDL), Entrepreneur First, Seedcamp, 2150, ADV, Creative Destruction Lab, ETF Partners, SFC Capital, Uncorrelated Ventures, Westerly Winds, Zigg Capital",02/18/2025,"Single Dashboard: Nodes &amp; Links provides a single dashboard for all analytics, offering a comprehensive view of a project's health, progress, and schedule quality.
Bookmark Favorites: Users can bookmark favorite activities and easily track their progress and how they are trending.
Easy Project Updates: Project updates can be shared easily with the team, ensuring everyone is on the same page.
Schedule Health &amp; Progress: The platform offers insights into schedule health and progress, highlighting potential delays and helping users stay on track.
Schedule Comparison Analysis: Nodes &amp; Links allows users to see which activities and milestones have been removed or added, and how these changes impact the critical path and other KPIs.
Progress Tracking: Progress tracking is made easy, with options to view project s-curves, WBS/ACS KPIs, and activity-level details.
Schedule Quality Checks: Users can start with 14 DCMA checks and leverage an additional 18 proprietary checks, with customizable thresholds for best practices.
AI Forecasting: The platform uses AI for trend analysis, helping users spot trends and deviations from the plan quickly and avoid surprises.
Critical Path Analysis: Users can discover critical and near-critical paths that drive the delivery of any activity, and easily export Gantt views of the data for reports.
AI Acceleration Scenarios: Nodes &amp; Links offers smart search capabilities to uncover activities with the largest delays, helping teams allocate resources for acceleration.
Customizable Data Tracking: Users can switch between WBS and Activity Codes to track progress the way they want, and choose between activity count and duration-based progress measures.
CO2 Management: The platform identifies the biggest contributor of carbon at the WBS or activity level, providing a breakdown between materials and equipment.
Team Alignment: Nodes &amp; Links ensures everyone is on the same page by inviting team members to the platform for free, with advanced user permissions and teams for secure access."
